Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
01-Jan-2008,720.0,15-Nov-2007,595.7,04-Jan-2007,828.1
02-Jan-2008,720.5,15-Nov-2007,595.7,04-Jan-2007,828.1
03-Jan-2008,744.0,15-Nov-2007,595.7,04-Jan-2007,828.1
04-Jan-2008,714.0,15-Nov-2007,595.7,04-Jan-2007,828.1
07-Jan-2008,709.0,15-Nov-2007,595.7,18-Jan-2007,815.8
08-Jan-2008,726.0,15-Nov-2007,595.7,18-Jan-2007,815.8
09-Jan-2008,701.0,15-Nov-2007,595.7,18-Jan-2007,815.8
10-Jan-2008,695.0,15-Nov-2007,595.7,18-Jan-2007,815.8
11-Jan-2008,682.0,15-Nov-2007,595.7,18-Jan-2007,815.8
14-Jan-2008,678.9,15-Nov-2007,595.7,18-Jan-2007,815.8
15-Jan-2008,685.0,15-Nov-2007,595.7,18-Jan-2007,815.8
16-Jan-2008,654.25,15-Nov-2007,595.7,18-Jan-2007,815.8
17-Jan-2008,676.0,15-Nov-2007,595.7,18-Jan-2007,815.8
18-Jan-2008,653.6,15-Nov-2007,595.7,18-Jan-2007,815.8
21-Jan-2008,675.0,15-Nov-2007,595.7,22-Jan-2007,810.05
22-Jan-2008,600.0,15-Nov-2007,595.7,22-Jan-2007,810.05
23-Jan-2008,649.9,22-Jan-2008,595.0,23-Jan-2007,771.25
24-Jan-2008,611.55,22-Jan-2008,595.0,25-Jan-2007,763.7
25-Jan-2008,575.0,24-Jan-2008,564.25,25-Jan-2007,763.7
28-Jan-2008,570.0,24-Jan-2008,564.25,29-Jan-2007,751.8
29-Jan-2008,624.0,24-Jan-2008,564.25,29-Jan-2007,751.8
30-Jan-2008,548.0,29-Jan-2008,539.8,06-Feb-2007,750.3
31-Jan-2008,536.05,30-Jan-2008,535.55,06-Feb-2007,750.3
01-Feb-2008,530.0,31-Jan-2008,529.25,06-Feb-2007,750.3
04-Feb-2008,534.0,01-Feb-2008,527.05,06-Feb-2007,750.3
05-Feb-2008,525.0,04-Feb-2008,524.35,06-Feb-2007,750.3
06-Feb-2008,525.0,04-Feb-2008,524.35,06-Feb-2007,750.3
07-Feb-2008,530.1,04-Feb-2008,524.35,04-Apr-2007,747.35
08-Feb-2008,523.2,07-Feb-2008,522.6,04-Apr-2007,747.35
11-Feb-2008,513.1,08-Feb-2008,516.05,04-Apr-2007,747.35
12-Feb-2008,503.1,11-Feb-2008,507.65,04-Apr-2007,747.35
13-Feb-2008,508.0,12-Feb-2008,499.9,04-Apr-2007,747.35
14-Feb-2008,519.0,12-Feb-2008,499.9,04-Apr-2007,747.35
15-Feb-2008,537.6,12-Feb-2008,499.9,04-Apr-2007,747.35
18-Feb-2008,554.0,12-Feb-2008,499.9,04-Apr-2007,747.35
19-Feb-2008,541.2,12-Feb-2008,499.9,04-Apr-2007,747.35
20-Feb-2008,504.6,12-Feb-2008,499.9,04-Apr-2007,747.35
21-Feb-2008,545.0,12-Feb-2008,499.9,04-Apr-2007,747.35
22-Feb-2008,504.6,12-Feb-2008,499.9,04-Apr-2007,747.35
25-Feb-2008,547.0,12-Feb-2008,499.9,04-Apr-2007,747.35
26-Feb-2008,545.0,12-Feb-2008,499.9,04-Apr-2007,747.35
27-Feb-2008,556.0,12-Feb-2008,499.9,04-Apr-2007,747.35
28-Feb-2008,541.7,12-Feb-2008,499.9,04-Apr-2007,747.35
29-Feb-2008,500.05,12-Feb-2008,499.9,04-Apr-2007,747.35
03-Mar-2008,572.65,12-Feb-2008,499.9,04-Apr-2007,747.35
04-Mar-2008,576.0,12-Feb-2008,499.9,04-Apr-2007,747.35
05-Mar-2008,562.15,12-Feb-2008,499.9,04-Apr-2007,747.35
07-Mar-2008,575.0,12-Feb-2008,499.9,04-Apr-2007,747.35
10-Mar-2008,561.0,12-Feb-2008,499.9,04-Apr-2007,747.35
11-Mar-2008,573.95,12-Feb-2008,499.9,04-Apr-2007,747.35
12-Mar-2008,570.0,12-Feb-2008,499.9,04-Apr-2007,747.35
13-Mar-2008,550.05,12-Feb-2008,499.9,04-Apr-2007,747.35
14-Mar-2008,540.2,12-Feb-2008,499.9,04-Apr-2007,747.35
17-Mar-2008,526.0,12-Feb-2008,499.9,04-Apr-2007,747.35
18-Mar-2008,525.0,12-Feb-2008,499.9,04-Apr-2007,747.35
19-Mar-2008,550.0,12-Feb-2008,499.9,04-Apr-2007,747.35
24-Mar-2008,545.0,12-Feb-2008,499.9,04-Apr-2007,747.35
25-Mar-2008,575.0,12-Feb-2008,499.9,04-Apr-2007,747.35
26-Mar-2008,578.8,12-Feb-2008,499.9,04-Apr-2007,747.35
27-Mar-2008,574.0,12-Feb-2008,499.9,04-Apr-2007,747.35
28-Mar-2008,586.0,12-Feb-2008,499.9,04-Apr-2007,747.35
31-Mar-2008,571.0,12-Feb-2008,499.9,04-Apr-2007,747.35
01-Apr-2008,595.0,12-Feb-2008,499.9,04-Apr-2007,747.35
02-Apr-2008,609.0,12-Feb-2008,499.9,04-Apr-2007,747.35
03-Apr-2008,601.0,12-Feb-2008,499.9,04-Apr-2007,747.35
04-Apr-2008,611.0,12-Feb-2008,499.9,02-Jan-2008,745.55
07-Apr-2008,596.0,12-Feb-2008,499.9,02-Jan-2008,745.55
08-Apr-2008,603.0,12-Feb-2008,499.9,02-Jan-2008,745.55
09-Apr-2008,589.0,12-Feb-2008,499.9,02-Jan-2008,745.55
10-Apr-2008,578.25,12-Feb-2008,499.9,02-Jan-2008,745.55
11-Apr-2008,589.5,12-Feb-2008,499.9,02-Jan-2008,745.55
15-Apr-2008,587.0,12-Feb-2008,499.9,02-Jan-2008,745.55
16-Apr-2008,616.5,12-Feb-2008,499.9,02-Jan-2008,745.55
17-Apr-2008,610.0,12-Feb-2008,499.9,02-Jan-2008,745.55
21-Apr-2008,610.0,12-Feb-2008,499.9,02-Jan-2008,745.55
22-Apr-2008,605.0,12-Feb-2008,499.9,02-Jan-2008,745.55
23-Apr-2008,617.0,12-Feb-2008,499.9,02-Jan-2008,745.55
24-Apr-2008,621.0,12-Feb-2008,499.9,02-Jan-2008,745.55
25-Apr-2008,607.0,12-Feb-2008,499.9,02-Jan-2008,745.55
28-Apr-2008,619.0,12-Feb-2008,499.9,02-Jan-2008,745.55
29-Apr-2008,627.0,12-Feb-2008,499.9,02-Jan-2008,745.55
30-Apr-2008,634.1,12-Feb-2008,499.9,02-Jan-2008,745.55
02-May-2008,630.0,12-Feb-2008,499.9,02-Jan-2008,745.55
05-May-2008,638.0,12-Feb-2008,499.9,02-Jan-2008,745.55
06-May-2008,638.95,12-Feb-2008,499.9,02-Jan-2008,745.55
07-May-2008,642.0,12-Feb-2008,499.9,02-Jan-2008,745.55
08-May-2008,637.15,12-Feb-2008,499.9,02-Jan-2008,745.55
09-May-2008,650.0,12-Feb-2008,499.9,02-Jan-2008,745.55
12-May-2008,621.0,12-Feb-2008,499.9,02-Jan-2008,745.55
13-May-2008,640.0,12-Feb-2008,499.9,02-Jan-2008,745.55
14-May-2008,613.05,12-Feb-2008,499.9,02-Jan-2008,745.55
15-May-2008,680.2,12-Feb-2008,499.9,02-Jan-2008,745.55
16-May-2008,655.0,12-Feb-2008,499.9,02-Jan-2008,745.55
20-May-2008,650.0,12-Feb-2008,499.9,02-Jan-2008,745.55
21-May-2008,631.0,12-Feb-2008,499.9,02-Jan-2008,745.55
22-May-2008,652.0,12-Feb-2008,499.9,02-Jan-2008,745.55
23-May-2008,684.7,12-Feb-2008,499.9,02-Jan-2008,745.55
26-May-2008,685.0,12-Feb-2008,499.9,02-Jan-2008,745.55
27-May-2008,695.0,12-Feb-2008,499.9,02-Jan-2008,745.55
28-May-2008,695.0,12-Feb-2008,499.9,02-Jan-2008,745.55
29-May-2008,696.0,12-Feb-2008,499.9,02-Jan-2008,745.55
30-May-2008,677.1,12-Feb-2008,499.9,02-Jan-2008,745.55
02-Jun-2008,720.0,12-Feb-2008,499.9,02-Jan-2008,745.55
03-Jun-2008,712.5,12-Feb-2008,499.9,02-Jan-2008,745.55
04-Jun-2008,688.0,12-Feb-2008,499.9,02-Jan-2008,745.55
05-Jun-2008,669.0,12-Feb-2008,499.9,02-Jan-2008,745.55
06-Jun-2008,710.0,12-Feb-2008,499.9,02-Jan-2008,745.55
09-Jun-2008,667.0,12-Feb-2008,499.9,02-Jan-2008,745.55
