Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
01-Jan-2008,1766.6,22-Nov-2007,1531.6,15-Feb-2007,2382.95
02-Jan-2008,1750.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
03-Jan-2008,1797.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
04-Jan-2008,1747.4,22-Nov-2007,1531.6,15-Feb-2007,2382.95
07-Jan-2008,1670.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
08-Jan-2008,1655.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
09-Jan-2008,1655.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
10-Jan-2008,1687.4,22-Nov-2007,1531.6,15-Feb-2007,2382.95
11-Jan-2008,1700.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
14-Jan-2008,1599.0,22-Nov-2007,1531.6,15-Feb-2007,2382.95
15-Jan-2008,1544.0,14-Jan-2008,1529.5,15-Feb-2007,2382.95
16-Jan-2008,1500.0,15-Jan-2008,1502.1,15-Feb-2007,2382.95
17-Jan-2008,1500.0,16-Jan-2008,1495.3,15-Feb-2007,2382.95
18-Jan-2008,1493.0,17-Jan-2008,1490.4,15-Feb-2007,2382.95
21-Jan-2008,1459.9,18-Jan-2008,1468.4,15-Feb-2007,2382.95
22-Jan-2008,1340.0,21-Jan-2008,1391.1,15-Feb-2007,2382.95
23-Jan-2008,1449.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
24-Jan-2008,1449.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
25-Jan-2008,1430.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
28-Jan-2008,1474.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
29-Jan-2008,1450.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
30-Jan-2008,1511.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
31-Jan-2008,1496.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
01-Feb-2008,1506.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
04-Feb-2008,1634.5,22-Jan-2008,1380.9,15-Feb-2007,2382.95
05-Feb-2008,1637.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
06-Feb-2008,1505.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
07-Feb-2008,1545.7,22-Jan-2008,1380.9,15-Feb-2007,2382.95
08-Feb-2008,1480.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
11-Feb-2008,1550.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
12-Feb-2008,1560.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
13-Feb-2008,1570.0,22-Jan-2008,1380.9,15-Feb-2007,2382.95
